name,description,misc,misc_description,monster_name
damage_vulnerabilities,fire,"","","Awakened Shrub"
false_appearance,"While the shrub remains motionless, it is indistinguishable from a normal shrub.","","","Awakened Shrub"
damage_vulnerabilities,fire,"","","Awakened Tree"
false_appearance,"While the tree remains motionless, it is indistinguishable from a normal tree.","","","Awakened Tree"
heated_body,"A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage.","","",Azer
heated_weapons,"When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack).","","",Azer
illumination,"The azer sheds bright light in a 10--foot radius and dim light for an additional 10 feet.","","",Azer
pack_tactics,"The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated.","","",Baboon
keen_smell,"The badger has advantage on Wisdom (Perception) checks that rely on smell.","","",Badger
death_throes,"When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons.","","",Balor
fire_aura,"At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.","","",Balor
magic_resistance,"The balor has advantage on saving throws against spells and other magical effects.","","",Balor
magic_weapons,"The balor's weapon attacks are magical.","","",Balor
barbed_hide,"At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it.","","","Barbed Devil"
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Barbed Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Barbed Devil"
petrifying_gaze,"If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic. A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save. If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze.","","",Basilisk
echolocation,"The bat can't use its blindsight while deafened.","","",Bat
keen_hearing,"The bat has advantage on Wisdom (Perception) checks that rely on hearing.","","",Bat
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Bearded Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Bearded Devil"
steadfast,"The devil can't be frightened while it can see an allied creature within 30 feet of it.","","","Bearded Devil"
reckless,"At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.","","",Berserker
keen_smell,"The bear has advantage on Wisdom (Perception) checks that rely on smell.","","","Black Bear"
amphibious,"The dragon can breathe air and water.","","","Black Dragon Wyrmling"
amorphous,"The pudding can move through a space as narrow as 1 inch wide without squeezing.","","","Black Pudding"
corrosive_form,"A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round.","","","Black Pudding"
spider_climb,"The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","","Black Pudding"
keen_hearing_and_smell,"The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","","Blink Dog"
keen_sight,"The hawk has advantage on Wisdom (Perception) checks that rely on sight.","","","Blood Hawk"
pack_tactics,"The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Blood Hawk"
charge,"If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","","",Boar
relentless,"If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",relentless_misc,"(Recharges after a Short or Long Rest)",Boar
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Bone Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Bone Devil"
amphibious,"The dragon can breathe air and water.","","","Bronze Dragon Wyrmling"
keen_smell,"The bear has advantage on Wisdom (Perception) checks that rely on smell.","","","Brown Bear"
brute,"A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).","","",Bugbear
surprise_attack,"If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.","","",Bugbear
standing_leap,"The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.","","",Bulette
keen_smell,"The cat has advantage on Wisdom (Perception) checks that rely on smell.","","",Cat
charge,"If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.","","",Centaur
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Chain Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Chain Devil"
amphibious,"The chuul can breathe air and water.","","",Chuul
sense_magic,"The chuul senses magic within 120 feet of it at will. This trait otherwise works like the **_detect magic_** spell but isn't itself magical.","","",Chuul
acid_absorption,"Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.","","","Clay Golem"
berserk,"Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.","","","Clay Golem"
immutable_form,"The golem is immune to any spell or effect that would alter its form.","","","Clay Golem"
magic_resistance,"The golem has advantage on saving throws against spells and other magical effects.","","","Clay Golem"
magic_weapons,"The golem's weapon attacks are magical.","","","Clay Golem"
damage_transfer,"While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down), and that creature takes the other half.","","",Cloaker
false_appearance,"While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.","","",Cloaker
light_sensitivity,"While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.","","",Cloaker
keen_smell,"The giant has advantage on Wisdom (Perception) checks that rely on smell.","","","Cloud Giant"
innate_spellcasting,"The giant's innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components: At will: **_detect magic_**, **_fog cloud_**, **_light_** 3/day each: **_feather fall_**, **_fly_**, **_misty step_**, **_telekinesis_** 1/day each: **_control weather_**, **_gaseous form_**","","","Cloud Giant"
innate_spellcasting,"The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components: At will: **_detect evil and good_**, **_detect magic_**, **_detect thoughts_** 3/day each: **_bless_**, **_create food and water_**, **_cure wounds_**, **_lesser restoration_**, **_protection from poison_**, **_sanctuary_**, **_shield_** 1/day each: **_dream_**, **_greater restoration_**, **_scrying_**","","",Couatl
magic_weapons,"The couatl's weapon attacks are magical.","","",Couatl
shielded_mind,"The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.","","",Couatl
amphibious,"The crab can breathe air and water.","","",Crab
hold_breath,"The crocodile can hold its breath for 15 minutes.","","",Crocodile
dark_devotion,"The fanatic has advantage on saving throws against being charmed or frightened.","","","Cult Fanatic"
spellcasting,"The fanatic is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The fanatic has the following cleric spells prepared: Cantrips (at will): **_light, sacred flame, thaumaturgy_** 1st level (4 slots): **_command, inflict wounds, shield of faith_** 2nd level (3 slots): **_hold person, spiritual weapon_**","","","Cult Fanatic"
dark_devotion,"The cultist has advantage on saving throws against being charmed or frightened.","","",Cultist
echolocation,"The darkmantle can't use its blindsight while deafened.","","",Darkmantle
false_appearance,"While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.","","",Darkmantle
two-headed,"The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.","","","Death Dog"
angelic_weapons,"The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack).","","",Deva
innate_spellcasting,"The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components: At will: **_detect evil and good_** 1/day each: **_commune_**, **_raise dead_**","","",Deva
magic_resistance,"The deva has advantage on saving throws against spells and other magical effects.","","",Deva
keen_hearing_and_smell,"The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","","Dire Wolf"
pack_tactics,"The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Dire Wolf"
elemental_demise,"If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying.","","",Djinni
innate_spellcasting,"The djinni's innate spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). It can innately cast the following spells, requiring no material components: At will: **_detect evil and good_**, **_detect magic_**, **_thunderwave_** 3/day each: **_create food and water_** (can create wine instead of water), **_tongues_**, **_wind walk_** 1/day each: **_conjure elemental_** (air elemental only), **_creation_**, **_gaseous form_**, **_invisibility_**, **_major image_**, **_plane shift_**","","",Djinni
shapechanger,"The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","","",Doppelganger
ambusher,"The doppelganger has advantage on attack rolls against any creature it has surprised.","","",Doppelganger
surprise_attack,"If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.","","",Doppelganger
amphibious,"The dragon turtle can breathe air and water.","","","Dragon Turtle"
fey_ancestry,"The drider has advantage on saving throws against being charmed, and magic can't put the drider to sleep.","","",Drider
innate_spellcasting,"The drider's innate spellcasting ability is Wisdom (spell save DC 13). The drider can innately cast the following spells, requiring no material components: At will: **_dancing lights_** 1/day each: **_darkness_**, **_faerie fire_**","","",Drider
spider_climb,"The drider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Sunlight Sensitivity. While in sunlight, the drider has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","","",Drider
web_walker,"The drider ignores movement restrictions caused by webbing.","","",Drider
spellcasting,"The druid is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It has the following druid spells prepared: Cantrips (at will): **_druidcraft, produce flame, shillelagh_** 1st level (4 slots): **_entangle, longstrider, speak with animals, thunderwave_** 2nd level (3 slots): **_animal messenger, barkskin_**","","",Druid
innate_spellcasting,"The dryad's innate spellcasting ability is Charisma (spell save DC 14). The dryad can innately cast the following spells, requiring no material components: At will: **_druidcraft_** 3/day each: **_entangle_**, **_goodberry_** 1/day each: **_barkskin_**, **_pass without trace_**, **_shillelagh_**","","",Dryad
magic_resistance,"The dryad has advantage on saving throws against spells and other magical effects.","","",Dryad
speak_with_beasts_and_plants,"The dryad can communicate with beasts and plants as if they shared a language.","","",Dryad
tree_stride,"Once on her turn, the dryad can use 10 feet of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 feet of the first tree, appearing in an unoccupied space within 5 feet of the second tree. Both trees must be Large or bigger.","","",Dryad
duergar_resilience,"The duergar has advantage on saving throws against poison, spells, and illusions, as well as to resist being charmed or paralyzed.","","",Duergar
sunlight_sensitivity,"While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","","",Duergar
damage_vulnerabilities,fire,"","","Dust Mephit"
death_burst,"When the mephit dies, it explodes in a burst of dust. Each creature within 5 feet of it must then succeed on a DC 10 Constitution saving throw or be blinded for 1 minute. A blinded creature can repeat the saving throw on each of its turns, ending the effect on itself on a success.","","","Dust Mephit"
innate_spellcasting,"The mephit can innately cast **_sleep_**, requiring no material components. Its innate spellcasting ability is Charisma.",innate_spellcasting_misc,(1/Day),"Dust Mephit"
keen_sight,"The eagle has advantage on Wisdom (Perception) checks that rely on sight.","","",Eagle
damage_vulnerabilities,thunder,"","","Earth Elemental"
earth_glide,"The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.","","","Earth Elemental"
siege_monster,"The elemental deals double damage to objects and structures.","","","Earth Elemental"
elemental_demise,"If the efreeti dies, its body disintegrates in a flash of fire and puff of smoke, leaving behind only equipment the efreeti was wearing or carrying.","","",Efreeti
innate_spellcasting,"The efreeti's innate spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). It can innately cast the following spells, requiring no material components: At will: **_detect magic_** 3/day: **_enlarge/reduce_**, **_tongues_** 1/day each: **_conjure elemental_** (fire elemental only), **_gaseous form_**, **_invisibility_**, **_major image_**, **_plane shift_**, **_wall of fire_**","","",Efreeti
trampling_charge,"If the elephant moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the elephant can make one stomp attack against it as a bonus action.","","",Elephant
fey_ancestry,"The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.","","","Elf, Drow"
innate_spellcasting,"The drow's spellcasting ability is Charisma (spell save DC 11). It can innately cast the following spells, requiring no material components: At will: **_dancing lights_** 1/day each: **_darkness_**, **_faerie fire_**","","","Elf, Drow"
sunlight_sensitivity,"While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","","","Elf, Drow"
charge,"If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","",Elk
hellish_weapons,"The erinyes's weapon attacks are magical and deal an extra 13 (3d8) poison damage on a hit (included in the attacks).","","",Erinyes
magic_resistance,"The erinyes has advantage on saving throws against spells and other magical effects.","","",Erinyes
spider_climb,"The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","",Ettercap
web_sense,"While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.","","",Ettercap
web_walker,"The ettercap ignores movement restrictions caused by webbing.","","",Ettercap
two_heads,"The ettin has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.","","",Ettin
wakeful,"When one of the ettin's heads is asleep, its other head is awake.","","",Ettin
fire_form,"The elemental can move through a space as narrow as 1 inch wide without squeezing. A creature that touches the elemental or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. In addition, the elemental can enter a hostile creature's space and stop there. The first time it enters a creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire; until someone takes an action to douse the fire, the creature takes 5 (1d10) fire damage at the start of each of its turns.","","","Fire Elemental"
illumination,"The elemental sheds bright light in a 30-foot radius and dim light in an additional 30 feet.","","","Fire Elemental"
water_susceptibility,"For every 5 feet the elemental moves in water, or for every gallon of water splashed on it, it takes 1 cold damage.","","","Fire Elemental"
berserk,"Whenever the golem starts its turn with 40 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points. The golem's creator, if within 60 feet of the berserk golem, can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 40 hit points or fewer, the golem might go berserk again.","","","Flesh Golem"
aversion_of_fire,"If the golem takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.","","","Flesh Golem"
immutable_form,"The golem is immune to any spell or effect that would alter its form.","","","Flesh Golem"
lightning_absorption,"Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt.","","","Flesh Golem"
magic_resistance,"The golem has advantage on saving throws against spells and other magical effects.","","","Flesh Golem"
magic_weapons,"The golem's weapon attacks are magical.","","","Flesh Golem"
flyby,"The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.","","","Flying Snake"
antimagic_susceptibility,"The sword is incapacitated while in the area of an antimagic field. If targeted by **_dispel magic_**, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","","","Flying Sword"
false_appearance,"While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.","","","Flying Sword"
amphibious,"The frog can breathe air and water.","","",Frog
standing_leap,"The frog's long jump is up to 10 feet and its high jump is up to 5 feet, with or without a running start.","","",Frog
false_appearance,"While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.","","",Gargoyle
ooze_cube,"The cube takes up its entire space. Other creatures can enter the space, but a creature that does so is subjected to the cube's Engulf and has disadvantage on the saving throw. Creatures inside the cube can be seen but have total cover. A creature within 5 feet of the cube can take an action to pull a creature or object out of the cube. Doing so requires a successful DC 12 Strength check, and the creature making the attempt takes 10 (3d6) acid damage. The cube can hold only one Large creature or up to four Medium or smaller creatures inside it at a time.","","","Gelatinous Cube"
transparent,"Even when the cube is in plain sight, it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked. A creature that tries to enter the cube's space while unaware of the cube is surprised by the cube.","","","Gelatinous Cube"
stench,"Any creature that starts its turn within 5 feet of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours.","","",Ghast
turning_defiance,"The ghast and any ghouls within 30 feet of it have advantage on saving throws against effects that turn undead.","","",Ghast
ethereal_sight,"The ghost can see 60 feet into the Ethereal Plane when it is on the Material Plane, and vice versa.","","",Ghost
incorporeal_movement,"The ghost can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.","","",Ghost
keen_smell,"The badger has advantage on Wisdom (Perception) checks that rely on smell.","","","Giant Badger"
echolocation,"The bat can't use its blindsight while deafened.","","","Giant Bat"
keen_hearing,"The bat has advantage on Wisdom (Perception) checks that rely on hearing.","","","Giant Bat"
charge,"If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","Giant Boar"
relentless,"If the boar takes 10 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",relentless_misc,"(Recharges after a Short or Long Rest)","Giant Boar"
amphibious,"The crab can breathe air and water.","","","Giant Crab"
hold_breath,"The crocodile can hold its breath for 30 minutes.","","","Giant Crocodile"
keen_sight,"The eagle has advantage on Wisdom (Perception) checks that rely on sight.","","","Giant Eagle"
charge,"If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","","","Giant Elk"
illumination,"The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 feet.","","","Giant Fire Beetle"
amphibious,"The frog can breathe air and water.","","","Giant Frog"
standing_leap,"The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.","","","Giant Frog"
charge,"If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","Giant Goat"
sure-footed,"The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","","Giant Goat"
rampage,"When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack.","","","Giant Hyena"
hold_breath,"While out of water, the octopus can hold its breath for 1 hour.","","","Giant Octopus"
underwater_camouflage,"The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater.","","","Giant Octopus"
flyby,"The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.","","","Giant Owl"
keen_hearing_and_sight,"The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.","","","Giant Owl"
keen_smell,"The rat has advantage on Wisdom (Perception) checks that rely on smell.","","","Giant Rat"
pack_tactics,"The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Giant Rat"
